gene	group	n_cells	n_positive_cells	pct_positive_cells	total_raw_transcripts	mean_raw_counts_per_cell	mean_log_normalized_expression	max_raw_count
EPCAM	tumor	1408	442	31.3920454545455	7346	5.21732954545455	0.897988746422123	77
EPCAM	enteroendocrine	970	909	93.7113402061856	4537	4.67731958762887	2.06392798890345	36
EPCAM	PMC	901	676	75.0277469478357	2102	2.33296337402886	1.18963744482469	20
EPCAM	EC	1058	65	6.14366729678639	123	0.116257088846881	0.0781167555982115	7
EPCAM	GMC	6890	6055	87.8809869375907	30497	4.42626995645864	1.53600074250997	93
EPCAM	IM	1044	1021	97.7969348659004	12545	12.0162835249042	2.2651936326967	83
EPCAM	fibroblast	751	19	2.52996005326232	39	0.051930758988016	0.030682379215419	7
CDH17	tumor	1408	341	24.21875	1035	0.735085227272727	0.357061444420138	14
CDH17	enteroendocrine	970	171	17.6288659793814	293	0.302061855670103	0.275461804293759	7
CDH17	PMC	901	8	0.887902330743618	11	0.0122086570477248	0.00908717850255776	3
CDH17	EC	1058	4	0.378071833648393	7	0.00661625708884688	0.00410757497279756	4
CDH17	GMC	6890	231	3.35268505079826	466	0.0676342525399129	0.0366734909541889	9
CDH17	IM	1044	382	36.5900383141762	802	0.768199233716475	0.352695377968728	11
CDH17	fibroblast	751	2	0.266311584553928	2	0.00266311584553928	0.00268555236407603	1
COL3A1	tumor	1408	982	69.7443181818182	18804	13.3551136363636	2.37677012978277	143
COL3A1	enteroendocrine	970	4	0.412371134020619	5	0.00515463917525773	0.00641533303165166	2
COL3A1	PMC	901	3	0.332963374028857	3	0.00332963374028857	0.00325018746567201	1
COL3A1	EC	1058	71	6.71077504725898	263	0.248582230623819	0.105694476377666	23
COL3A1	GMC	6890	83	1.20464441219158	396	0.0574746008708273	0.019977208295961	31
COL3A1	IM	1044	12	1.14942528735632	41	0.039272030651341	0.0125344763409914	21
COL3A1	fibroblast	751	661	88.0159786950732	8830	11.7576564580559	2.78089375083935	120
PDGFRB	tumor	1408	264	18.75	352	0.25	0.254973279147778	5
PDGFRB	enteroendocrine	970	1	0.103092783505155	2	0.00206185567010309	0.00182914176471156	2
PDGFRB	PMC	901	0	0	0	0	0	0
PDGFRB	EC	1058	53	5.00945179584121	145	0.137051039697543	0.0708146588479777	9
PDGFRB	GMC	6890	17	0.246734397677794	22	0.00319303338171263	0.00268402004077727	3
PDGFRB	IM	1044	2	0.191570881226054	2	0.00191570881226054	0.000907307690670965	1
PDGFRB	fibroblast	751	454	60.4527296937417	1030	1.37150466045273	1.04490291650555	14
CD44	tumor	1408	573	40.6960227272727	1093	0.776278409090909	0.618589397866383	14
CD44	enteroendocrine	970	416	42.8865979381443	824	0.849484536082474	0.633752345487633	12
CD44	PMC	901	48	5.32741398446171	57	0.0632630410654828	0.052824927676746	3
CD44	EC	1058	76	7.18336483931947	106	0.100189035916824	0.0796041909857786	6
CD44	GMC	6890	2940	42.6705370101597	5419	0.786502177068215	0.46288923798963	16
CD44	IM	1044	618	59.1954022988506	1466	1.40421455938697	0.627525589566289	12
CD44	fibroblast	751	469	62.4500665778961	1065	1.41810918774967	1.04941551393109	21
CDK6	tumor	1408	118	8.38068181818182	149	0.105823863636364	0.102647417081221	6
CDK6	enteroendocrine	970	64	6.5979381443299	84	0.0865979381443299	0.0766580638878296	4
CDK6	PMC	901	35	3.88457269700333	39	0.0432852386237514	0.0362689805458913	3
CDK6	EC	1058	153	14.461247637051	184	0.173913043478261	0.177928375208757	4
CDK6	GMC	6890	1419	20.5950653120464	1941	0.281712626995646	0.186653822500175	13
CDK6	IM	1044	184	17.6245210727969	235	0.225095785440613	0.129072880863743	4
CDK6	fibroblast	751	99	13.1824234354194	121	0.161118508655127	0.168381286466285	4
GATA4	tumor	1408	121	8.59375	153	0.108664772727273	0.0792998312292364	4
GATA4	enteroendocrine	970	109	11.2371134020619	127	0.130927835051546	0.126725853671591	2
GATA4	PMC	901	153	16.9811320754717	182	0.201997780244173	0.168566993256315	3
GATA4	EC	1058	5	0.472589792060492	6	0.0056710775047259	0.00417486776037533	2
GATA4	GMC	6890	1197	17.3730043541364	1436	0.208417997097242	0.145627793975531	6
GATA4	IM	1044	240	22.9885057471264	291	0.278735632183908	0.155323984671173	4
GATA4	fibroblast	751	1	0.133155792276964	1	0.00133155792276964	0.00113015726223539	1
GATA6	tumor	1408	86	6.10795454545455	107	0.0759943181818182	0.0566610696535492	4
GATA6	enteroendocrine	970	117	12.0618556701031	149	0.15360824742268	0.13283373756834	4
GATA6	PMC	901	383	42.5083240843507	562	0.623751387347392	0.479771665737073	6
GATA6	EC	1058	21	1.98487712665406	25	0.0236294896030246	0.0180753767275163	3
GATA6	GMC	6890	2816	40.8708272859216	4349	0.631204644412192	0.402047986354785	9
GATA6	IM	1044	257	24.6168582375479	319	0.305555555555556	0.176152496466958	4
GATA6	fibroblast	751	7	0.932090545938748	8	0.0106524633821571	0.00858220530159614	2
KLF5	tumor	1408	312	22.1590909090909	763	0.541903409090909	0.289914926635445	11
KLF5	enteroendocrine	970	290	29.8969072164948	494	0.509278350515464	0.408748839790832	8
KLF5	PMC	901	460	51.0543840177581	775	0.86015538290788	0.61047412299572	9
KLF5	EC	1058	18	1.70132325141777	26	0.0245746691871456	0.015375402950585	3
KLF5	GMC	6890	3429	49.7677793904209	6234	0.904789550072569	0.528653827426286	16
KLF5	IM	1044	758	72.6053639846743	1901	1.82088122605364	0.815700323129527	14
KLF5	fibroblast	751	15	1.99733688415446	21	0.0279627163781625	0.0213846833880892	3
KRAS	tumor	1408	411	29.1903409090909	591	0.419744318181818	0.333773796631657	6
KRAS	enteroendocrine	970	166	17.1134020618557	218	0.224742268041237	0.211078847434111	4
KRAS	PMC	901	260	28.8568257491676	370	0.410654827968923	0.312739943352217	8
KRAS	EC	1058	416	39.3194706994329	593	0.560491493383743	0.500484134971495	8
KRAS	GMC	6890	2262	32.8301886792453	3283	0.476487663280116	0.30481362160154	9
KRAS	IM	1044	442	42.3371647509579	665	0.636973180076628	0.34691439771412	7
KRAS	fibroblast	751	167	22.237017310253	226	0.300932090545939	0.294218948878485	5
