gene	group	n_cells	n_positive_cells	pct_positive_cells	total_raw_transcripts	mean_raw_counts_per_cell	mean_log_normalized_expression	max_raw_count
EPCAM	Extracted tumor cells	1408	442	31.3920454545455	7346	5.21732954545455	0.897988746422123	77
EPCAM	Other non-immune cells	11614	8745	75.2970552781126	49843	4.29163079042535	1.38862327791167	93
CDH17	Extracted tumor cells	1408	341	24.21875	1035	0.735085227272727	0.357061444420138	14
CDH17	Other non-immune cells	11614	798	6.87101773721371	1581	0.136128810056828	0.0777202074579046	11
COL3A1	Extracted tumor cells	1408	982	69.7443181818182	18804	13.3551136363636	2.37677012978277	143
COL3A1	Other non-immune cells	11614	834	7.18098846220079	9538	0.821250215257448	0.203216481254896	120
PDGFRB	Extracted tumor cells	1408	264	18.75	352	0.25	0.254973279147778	5
PDGFRB	Other non-immune cells	11614	527	4.53762700189427	1201	0.103409677974858	0.0758445319595847	14
CD44	Extracted tumor cells	1408	573	40.6960227272727	1093	0.776278409090909	0.618589397866383	14
CD44	Other non-immune cells	11614	4567	39.3232305837782	8937	0.769502324780437	0.463157472467773	21
CDK6	Extracted tumor cells	1408	118	8.38068181818182	149	0.105823863636364	0.102647417081221	6
CDK6	Other non-immune cells	11614	1954	16.8245221284656	2604	0.224212157740658	0.158647853039267	13
GATA4	Extracted tumor cells	1408	121	8.59375	153	0.108664772727273	0.0792998312292364	4
GATA4	Other non-immune cells	11614	1705	14.680557947305	2043	0.17590838643017	0.124470676568617	6
GATA6	Extracted tumor cells	1408	86	6.10795454545455	107	0.0759943181818182	0.0566610696535492	4
GATA6	Other non-immune cells	11614	3601	31.0056827966248	5412	0.465989323230584	0.304865318867365	9
KLF5	Extracted tumor cells	1408	312	22.1590909090909	763	0.541903409090909	0.289914926635445	11
KLF5	Other non-immune cells	11614	4970	42.7931806440503	9451	0.81375925607026	0.471230122376164	16
KRAS	Extracted tumor cells	1408	411	29.1903409090909	591	0.419744318181818	0.333773796631657	6
KRAS	Other non-immune cells	11614	3713	31.9700361632513	5355	0.461081453418288	0.318524220804819	9
